age ,sd,,,,,
44250,5750,,,,,
46000,6000,,,,,
46300,8900,,,,,
47000,6000,,,,,
48959,2449,,,,,
50000,6000,,,,,
50100,9700,,,,,
50667,6000,,,,,
52000,8000,,,,,
53000,5000,,,,,
54000,6000,,,,,
54000,7000,,,,,
54222,2449,,,,,
56000,10800,,,,,
58440,7054,,,,,
59236,2711,,,,,
75000,9000,,,,,
81972,7483,,,,,
82000,10000,,,,,
95000,9000,,,,,
107000,18000,,,,,
112000,20000,,,,,
122000,22000,,,,,
539500,76000,,,,,
659000,77500,,,,,
726500,123000,,,,,
749000,159000,,,,,
780000,127000,,,,,
1018500,122500,,,,,
