age,sd,,,,,
40000,2000,,,,,
41000,5916,,,,,
44900,1300,,,,,
45750,5250,,,,,
46000,2000,,,,,
46000,6000,,,,,
46000,2000,,,,,
46000,6000,,,,,
46599,1853,,,,,
47000,6000,,,,,
47311,1748,,,,,
48185,1094,,,,,
48700,3000,,,,,
52000,3000,,,,,
52000,8000,,,,,
54000,7000,,,,,
55000,3000,,,,,
62000,3000,,,,,
63000,3000,,,,,
63000,9000,,,,,
67000,6000,,,,,
70000,6000,,,,,
70000,4000,,,,,
74000,10000,,,,,
76000,6000,,,,,
77000,6000,,,,,
77000,6000,,,,,
82000,8000,,,,,
82000,6000,,,,,
82000,10000,,,,,
97000,11000,,,,,
112000,11000,,,,,
131000,14000,,,,,
135000,7000,,,,,
151000,7000,,,,,
164000,15000,,,,,
164000,15000,,,,,
164000,15000,,,,,
206000,16000,,,,,
206000,16000,,,,,
231000,21000,,,,,
231000,21000,,,,,
257000,21000,,,,,
257000,21000,,,,,
257000,21000,,,,,
292000,19000,,,,,
292000,19000,,,,,
292000,19000,,,,,
297000,9000,,,,,
297000,9000,,,,,
297000,9000,,,,,
396000,19000,,,,,
396000,19000,,,,,
513000,73000,,,,,
513000,73000,,,,,
535000,49000,,,,,
535000,49000,,,,,
